NAME_1,area198589,area199094,area199599,area200004,area200509,area201014,area201519,areachange,percchange
Hokkaido,1959.4413,2445.8085,2022.0048,1694.6037,1526.5701,1402.7319,1311.9633,-647.478,-33.04401107
Aomori,800.1486,767.6316,741.9195,620.0712,563.5323,567.7632,530.748,-269.4006,-33.66882102
Iwate,726.0831,701.3457,674.7876,602.6544,583.6716,530.4564,562.3506,-163.7325,-22.5501048
Miyagi,1046.9502,990.7794,1056.2373,965.664,905.391,817.2792,882.5049,-164.4453,-15.70707948
Akita,1369.953,1285.5582,1207.5849,1153.2222,1097.9883,1108.089,1036.0314,-333.9216,-24.37467563
Yamagata,863.3826,849.8493,818.4312,709.1307,662.022,666.6984,665.1288,-198.2538,-22.96245025
Fukushima,820.0305,855.8091,904.5072,775.5831,760.5855,672.0264,656.6085,-163.422,-19.92877094
Ibaraki,1126.2933,969.6366,929.403,951.5961,927.8712,959.4063,825.2604,-301.0329,-26.72775377
Tochigi,826.3296,759.2517,665.6049,717.3423,693.1899,589.7115,624.2049,-202.1247,-24.46054214
Gunma,267.9417,297.0639,184.0032,167.5224,147.6063,135.6525,158.1444,-109.7973,-40.97805605
Saitama,528.5169,406.1214,351.0252,386.3169,373.0122,321.8733,357.9228,-170.5941,-32.27788932
Chiba,756.2952,724.0563,712.7001,664.3926,670.9572,668.4543,609.7356,-146.5596,-19.37862359
Tokyo,10.7343,12.6477,1.6821,3.1554,0.9909,2.2455,2.6298,-8.1045,-75.5009642
Kanagawa,56.7774,88.0875,30.2076,36.7461,32.553,36.6939,32.3028,-24.4746,-43.10623593
Niigata,1695.3219,1664.6805,1539.5283,1482.5394,1466.2836,1431.1134,1445.6763,-249.6456,-14.72555743
Toyama,572.3379,554.9625,547.146,550.6551,494.5878,490.1013,445.689,-126.6489,-22.12834411
Ishikawa,352.4103,364.2462,357.4737,353.1186,316.0926,300.1401,285.9507,-66.4596,-18.85858614
Fukui,408.3561,390.9996,383.2614,378.5895,359.0649,335.7009,304.5123,-103.8438,-25.42971686
Yamanashi,75.6387,53.1837,54.9243,39.7341,35.973,32.3892,35.9802,-39.6585,-52.4314934
Nagano,466.9713,475.965,411.1596,360.2529,360.3402,348.3441,324.0153,-142.956,-30.61344455
Gifu,188.2899,187.3197,224.9991,255.7962,236.4264,260.7633,214.2882,25.9983,13.80759138
Shizuoka,246.4929,211.0887,146.7054,145.6713,173.0619,122.3388,112.374,-134.1189,-54.41085727
Aichi,350.0037,310.635,316.7505,288.4563,317.1312,256.9401,255.6414,-94.3623,-26.96037213
Mie,358.2765,372.7575,407.6001,324.4437,332.9667,314.3529,256.6062,-101.6703,-28.3776078
Shiga,567.7794,575.127,532.8639,617.8599,534.2796,437.1453,407.1519,-160.6275,-28.2904769
Kyoto,185.5476,170.3664,133.1631,144.3348,127.2159,121.5099,114.5358,-71.0118,-38.2714732
Osaka,45.2718,40.1652,93.6045,29.1366,22.2327,17.1702,21.1401,-24.1317,-53.30404358
Hyogo,493.9326,386.91,427.158,359.4771,303.0903,225.2574,271.719,-222.2136,-44.98864825
Nara,82.4103,101.9538,105.5727,74.9376,72.9702,37.1448,62.847,-19.5633,-23.73890157
Wakayama,75.8862,74.4165,94.9617,36.5949,45.7407,28.7892,30.9033,-44.9829,-59.2767855
Tottori,127.7559,129.1203,130.5036,105.075,83.6487,93.6009,56.0259,-71.73,-56.14613493
Shimane,182.4345,211.9869,189.6606,158.3676,139.6431,126.5697,115.4178,-67.0167,-36.73466367
Okayama,283.779,280.2492,275.3496,207.8298,158.0382,181.2618,70.6158,-213.1632,-75.11591767
Hiroshima,147.3039,219.0609,171.0792,147.7008,141.4575,138.6837,103.0302,-44.2737,-30.05602703
Yamaguchi,168.0732,232.7562,158.0076,205.8093,139.3119,148.8897,141.0435,-27.0297,-16.08209994
Tokushima,141.3657,140.9643,194.6943,119.0277,124.0713,96.4395,65.0043,-76.3614,-54.01692207
Kagawa,157.7754,102.7242,128.1735,70.2063,66.9492,49.878,34.0371,-123.7383,-78.42686502
Ehime,125.4771,85.1985,91.6011,90.3888,83.8701,67.5675,38.538,-86.9391,-69.28682604
Kochi,113.1759,130.6179,133.0407,125.7435,101.5875,102.3579,87.7518,-25.4241,-22.46423488
Fukuoka,365.0832,319.3281,109.377,325.5345,199.7424,225.189,200.4705,-164.6127,-45.08909202
Saga,257.4531,310.8978,77.3343,277.5276,225.3834,79.8696,144.7569,-112.6962,-43.77348729
Nagasaki,72.0621,100.0854,59.301,84.4983,65.8989,37.3212,43.2009,-28.8612,-40.05045648
Kumamoto,298.314,468.8613,281.5542,331.1451,245.0781,174.0078,214.6446,-83.6694,-28.04742654
Oita,128.8503,222.921,167.5746,154.9629,122.7114,121.6431,128.1861,-0.6642,-0.51548192
Miyazaki,109.1484,271.7361,269.2296,242.9253,206.0703,165.8601,140.436,31.2876,28.66519344
Kagoshima,257.9877,351.477,240.4296,264.366,221.2812,188.1855,216.7794,-41.2083,-15.9729708
All Japan,20259.8442,20666.4093,18753.8814,17800.7076,16468.1424,15235.6077,14644.5057,-5615.3385,-27.71659271
