Prefecture,Subprefecture,GID_2,area198589,area199094,area199599,area200004,area200509,area201014,area201519,areachange,percchange
Naoasaki,Shimabara,JPN.27.19_1,1.757566975,3.21350103,5.095334827,4.924542519,3.167652873,3.516883121,3.616536457,1.858969482,105.7694818
Naoasaki,Tsushima,JPN.27.22_1,4.085912444,6.556514824,15.40462589,5.131306492,3.572129531,3.328367461,2.808443471,-1.277468973,-31.26520675
Naoasaki,Unzen,JPN.27.23_1,14.38686368,18.2588664,19.36177548,26.4426006,22.18409503,17.70521853,21.22258467,6.835720989,47.51362868
Nara,Gojo,JPN.28.3_1,4.822947144,5.898797854,5.086771906,4.970657131,4.47538772,3.497399706,3.200962121,-1.621985023,-33.63057844
Nara,Ikoma,JPN.28.8_1,3.439860247,3.246326002,1.575091572,2.127949136,1.784174881,1.242936038,0.971406379,-2.468453868,-71.76029521
Nara,Kashiba,JPN.28.11_1,2.646253551,2.753024603,2.6473333,1.845552864,1.672321642,1.070073807,0.906374483,-1.739879068,-65.74876649
Nara,Kashihara,JPN.28.12_1,7.937649421,7.524987108,7.89212022,5.878259394,5.74226869,4.520332477,4.073290901,-3.86435852,-48.68391529
Nara,Katsuragi,JPN.28.13_1,5.800271722,6.614853597,6.219717508,5.075122555,5.11642109,4.119163979,3.92402616,-1.876245561,-32.34754596
Nara,Nara,JPN.28.21_1,18.44117249,18.01614731,14.4381453,14.54572757,13.61542314,11.94225997,10.81640826,-7.624764234,-41.34641785
Nara,Sakurai,JPN.28.25_1,4.873202615,6.021632465,5.993914626,4.950915461,4.490252279,3.86914774,3.293147574,-1.580055041,-32.42333975
Nara,Tenri,JPN.28.33_1,5.985892171,8.316058797,8.209122402,6.7370671,6.914106619,5.984293184,5.917393282,-0.068498888,-1.14433883
Nara,Uda,JPN.28.35_1,7.201715415,6.737970653,4.446792779,5.995032838,5.182452078,5.197243961,4.162856855,-3.038858561,-42.19631553
