Prefecture,Subprefecture,GID_2,area198589,area199094,area199599,area200004,area200509,area201014,area201519,areachange,percchange
Naoasaki,Shimabara,JPN.27.19_1,0.4986,0.6759,0.3789,1.2825,0.432,0.2502,0.5211,0.0225,4.512635379
Naoasaki,Tsushima,JPN.27.22_1,3.4137,5.3928,10.3878,5.0868,2.3751,1.4058,1.2303,-2.1834,-63.95992618
Naoasaki,Unzen,JPN.27.23_1,8.5653,11.3031,0.8865,10.2699,8.9442,4.1337,7.6806,-0.8847,-10.32888515
Nara,Gojo,JPN.28.3_1,2.5344,3.3651,3.6657,2.6469,2.358,1.809,1.9764,-0.558,-22.01704545
Nara,Ikoma,JPN.28.8_1,1.2861,1.6245,1.0071,0.8757,0.63,0.3798,0.4212,-0.8649,-67.24982505
Nara,Kashiba,JPN.28.11_1,1.3158,1.8873,1.8612,1.0098,1.0863,0.4248,0.6813,-0.6345,-48.22161423
Nara,Kashihara,JPN.28.12_1,5.9364,6.2154,6.8427,4.4082,4.6008,1.647,3.4173,-2.5191,-42.43480898
Nara,Katsuragi,JPN.28.13_1,3.5163,4.68,5.2443,2.9601,3.4191,1.4301,2.9331,-0.5832,-16.58561556
Nara,Nara,JPN.28.21_1,13.4802,15.516,13.4496,11.6649,10.0755,6.435,8.9136,-4.5666,-33.87635198
Nara,Sakurai,JPN.28.25_1,2.1987,4.2129,4.6962,3.0978,3.0105,1.3509,2.6001,0.4014,18.25624233
Nara,Tenri,JPN.28.33_1,4.1184,7.9497,7.4988,5.2749,5.265,1.8027,5.4225,1.3041,31.66520979
Nara,Uda,JPN.28.35_1,4.6692,4.374,4.1778,3.8142,3.4902,3.1365,2.9484,-1.7208,-36.85427911
Nara,Yamatokoriyama,JPN.28.36_1,9.0045,12.8853,11.9349,8.2926,8.2656,3.4038,7.6356,-1.3689,-15.2023988
Nara,Yamatotakada,JPN.28.37_1,3.2256,3.4551,3.7017,2.295,2.6982,0.945,2.0529,-1.1727,-36.35602679
Niigata,Agano,JPN.29.2_1,82.1205,78.3099,75.3399,72.2727,73.0485,70.5555,72.7398,-9.3807,-11.42309168
Niigata,Gosen,JPN.29.4_1,59.4774,58.2156,52.5096,52.2693,51.0228,51.5061,53.4564,-6.021,-10.12317284
Niigata,Itoigawa,JPN.29.5_1,14.5053,15.1155,13.1904,12.2508,11.1087,11.0322,10.6119,-3.8934,-26.84122355
Niigata,Joetsu,JPN.29.7_1,169.9416,176.4099,156.3498,145.4616,142.902,141.678,144.9387,-25.0029,-14.71264246
